Size,Time,Memory
0,0.000277,0
1000,0.050492,7
2000,0.174250,30
3000,0.400466,68
4000,0.730602,122
5000,1.148046,190
6000,1.654829,274
7000,2.270262,374
8000,3.049382,488
9000,3.985059,618
10000,5.182594,763
11000,6.584246,923
12000,7.922597,1099
13000,9.503617,1289
14000,11.171643,1496
15000,12.950665,1717
16000,14.735915,1953
17000,16.613656,2258
18000,19.843393,2531
19000,21.438852,2820
20000,22.992954,3125
21000,26.023165,3445
