Size,Time,Memory
0,0.000275,0
1000,0.037680,7
2000,0.124299,30
3000,0.267230,68
4000,0.465252,122
5000,0.720942,190
6000,1.036814,274
7000,1.400735,374
8000,1.823181,488
9000,2.311430,618
10000,2.846151,763
11000,3.436720,923
12000,4.086982,1099
13000,4.792333,1289
14000,5.542792,1496
15000,6.353093,1717
16000,7.225757,1953
17000,8.179514,2258
18000,9.150194,2531
19000,10.211484,2820
20000,11.292524,3125
21000,12.475444,3445
