Size,Time,Memory
0,0.000281,0
1000,0.036686,7
2000,0.125411,30
3000,0.263497,68
4000,0.457899,122
5000,0.708257,190
6000,1.018964,274
7000,1.378743,374
8000,1.793644,488
9000,2.276378,618
10000,2.815309,763
11000,3.387722,923
12000,4.021657,1099
13000,4.751348,1289
14000,5.457079,1496
15000,6.254996,1717
16000,7.110574,1953
17000,8.616533,2258
18000,9.639529,2531
19000,10.740823,2820
20000,11.893160,3125
21000,13.124526,3445
