Size,Time,Memory
0,0.000272,0
1000,0.049767,15
2000,0.167378,61
3000,0.363074,137
4000,0.629788,244
5000,0.978340,381
6000,1.415937,549
7000,1.892840,748
8000,2.479018,977
9000,3.123148,1266
10000,3.858981,1563
11000,4.637463,1848
12000,5.489816,2203
13000,6.500934,2590
14000,7.483609,3008
15000,8.618770,3457
