Size,Time,Memory
0,0.000266,0
1000,0.048837,15
2000,0.165924,61
3000,0.360589,137
4000,0.627710,244
5000,0.980383,381
6000,1.399200,549
7000,1.895840,748
8000,2.463316,977
9000,3.116146,1266
10000,3.837740,1563
11000,4.624986,1848
12000,5.506922,2203
13000,6.470153,2590
14000,7.528061,3008
15000,8.609159,3457
