Size,Time,Memory
0,0.000293,0
1000,0.033555,3
2000,0.113823,15
3000,0.248270,34
4000,0.434107,61
5000,0.670482,95
6000,0.960466,137
7000,1.301790,187
8000,1.694228,244
9000,2.146784,309
10000,2.643232,381
11000,3.195083,462
12000,3.805988,549
13000,4.458565,645
14000,5.167634,748
15000,5.918455,858
16000,6.732869,977
17000,7.623659,1103
18000,8.538661,1236
19000,9.502217,1377
20000,10.528643,1526
21000,11.611426,1682
22000,12.745697,1847
23000,13.895627,2018
24000,15.134418,2198
25000,16.409075,2384
26000,17.761400,2579
27000,19.136513,2781
28000,20.588952,2991
29000,22.074751,3209
