Size,Time,Memory
0,0.000273,0
1000,0.067352,15
2000,0.257534,61
3000,0.576130,137
4000,1.006041,244
5000,1.597555,381
6000,2.346495,549
7000,3.171555,748
8000,4.077154,977
9000,5.457937,1266
10000,6.554153,1563
11000,8.239979,1848
12000,9.672677,2203
13000,11.251720,2590
14000,13.367375,3008
15000,14.682452,3457
